address;source_location;insn;indent
0x4075c0;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%RBP;
0x4075c1;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;MOV	%RSP,%RBP;
0x4075c4;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%R15;
0x4075c6;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%R14;
0x4075c8;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%R13;
0x4075ca;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%R12;
0x4075cc;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;PUSH	%RBX;
0x4075cd;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;MOV	%EDX,%R12D;
0x4075d0;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;SUB	$0xa8,%RSP;
0x4075d7;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:286;MOV	0xb3586(%RIP),%R10D;
0x4075de;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;MOV	%RDI,-0x98(%RBP);
0x4075e5;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:285;MOV	%ESI,-0x9c(%RBP);
0x4075eb;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:286;CMP	%ECX,%R10D;
0x4075ee;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:286;JE	4077d0 <aml_send+0x210>;
0x4075f4;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:289;MOV	0xb3552(%RIP),%EAX;
0x4075fa;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:289;SARX	%EAX,%ECX,%R13D;
0x4075ff;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:290;AND	0xb3543(%RIP),%ECX;
0x407605;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:293;CMP	%R13D,0xb3550(%RIP);
0x40760c;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:290;MOV	%ECX,-0xa0(%RBP);
0x407612;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:293;JE	407830 <aml_send+0x270>;
0x407618;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOV	0xb2d09(%RIP),%RDX;
0x40761f;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOVSXD	%R13D,%RBX;
0x407622;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOV	$0x7ffc,%ECX;
0x407627;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;LEA	(,%RBX,4),%RAX;
0x40762f;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:238;ADD	%RBX,%RBX;
0x407632;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOV	%RAX,-0xb0(%RBP);
0x407639;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:238;MOV	%RBX,-0xa8(%RBP);
0x407640;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;ADD	%RAX,%RDX;
0x407643;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOVSXD	(%RDX),%RAX;
0x407646;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;SUB	%EAX,%ECX;
0x407648;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:297;MOV	%EAX,%ESI;
0x40764a;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:298;CMP	%R12D,%ECX;
0x40764d;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:298;JL	4076b0 <aml_send+0xf0>;
0x40764f;/home/hananefdh/MPNA/graph500/src/../aml/aml.c:301;MOV	0xb2cc2(%RIP),%RCX;
