group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
3;LSL;MOV,VMOVSD,VMOVSD,;-128,-88,-88,;0x406c2b,0x406c44,0x406c4e,;Success;0;Success;24;16;8;48;0;1;
1;L;MOV,;0,;0x406c21,;Iteration not constant;0;Success;8;8;0;8;0;1;
3;LLS;MOV,MOV,INC,;472646,737310,472574,;0x406c13,0x406c33,0x406c6b,;RIP based value;0;Success;20;20;0;264740;0;1;
1;L;VCVTSS2SD,;0,;0x406c3a,;Iteration not constant;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x406c1a,;Iteration not constant;0;Success;4;4;0;4;0;1;
