block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1457;graph500_reference_bfs_sssp;mod_arith_64bit.h:36-36,mod_arith_64bit.h:52-52,mod_arith_64bit.h:69-69,splittable_mrg.c:152-152;0.13696874678135;0.21499997377396;;;;;;;;
1395;graph500_reference_bfs_sssp;graph_generator.c:150-150;0.13378342986107;0.20999997854233;;;;;;;;
401;graph500_reference_bfs_sssp;bfs_reference.c:107-107;0.12741281092167;0.20000000298023;;;;;;;;
922;graph500_reference_bfs_sssp;validate.c:270-270;0.12741279602051;0.19999998807907;;;;;;;;
789;graph500_reference_bfs_sssp;validate.c:144-144;0.12422747910023;0.19499999284744;;;;;;;;
1484;graph500_reference_bfs_sssp;mod_arith_64bit.h:27-27,splittable_mrg.c:172-172,splittable_mrg.c:267-267;0.12422746419907;0.19499996304512;;;;;;;;
882;graph500_reference_bfs_sssp;validate.c:171-171;0.12104214727879;0.18999996781349;;;;;;;;
414;graph500_reference_bfs_sssp;bfs_reference.c:132-132;0.11785683780909;0.18499998748302;;;;;;;;
486;graph500_reference_bfs_sssp;sssp_reference.c:135-135;0.11785683780909;0.18499998748302;;;;;;;;
879;graph500_reference_bfs_sssp;validate.c:171-171;0.11467150598764;0.17999996244907;;;;;;;;
425;graph500_reference_bfs_sssp;bfs_reference.c:132-132;0.10830087214708;0.16999997198582;;;;;;;;
626;graph500_reference_bfs_sssp;csr_reference.c:58-63,csr_reference.c:169-169;0.1051155552268;0.16499997675419;;;;;;;;
441;graph500_reference_bfs_sssp;sssp_reference.c:62-62;0.10511554777622;0.16499997675419;;;;;;;;
942;graph500_reference_bfs_sssp;validate.c:290-290;0.10511554777622;0.16499997675419;;;;;;;;
415;graph500_reference_bfs_sssp;bfs_reference.c:134-134;0.10193023085594;0.15999998152256;;;;;;;;
1398;graph500_reference_bfs_sssp;graph_generator.c:66-68,graph_generator.c:150-150;0.098744913935661;0.15499998629093;;;;;;;;
481;graph500_reference_bfs_sssp;sssp_reference.c:122-122;0.098744913935661;0.15499998629093;;;;;;;;
1448;graph500_reference_bfs_sssp;mod_arith_64bit.h:27-27,mod_arith_64bit.h:69-69,splittable_mrg.c:148-148;0.098744906485081;0.15499997138977;;;;;;;;
627;graph500_reference_bfs_sssp;csr_reference.c:58-63,csr_reference.c:170-170;0.098744906485081;0.15499997138977;;;;;;;;
1454;graph500_reference_bfs_sssp;mod_arith_64bit.h:36-36,mod_arith_64bit.h:45-45,mod_arith_64bit.h:52-52,splittable_mrg.c:150-150;0.09237427264452;0.14499998092651;;;;;;;;
422;graph500_reference_bfs_sssp;bfs_reference.c:132-132;0.09237427264452;0.14499998092651;;;;;;;;
874;graph500_reference_bfs_sssp;validate.c:170-170;0.086003631353378;0.1349999755621;;;;;;;;
932;graph500_reference_bfs_sssp;validate.c:284-284;0.082818314433098;0.12999998033047;;;;;;;;
931;graph500_reference_bfs_sssp;validate.c:285-285;0.079632990062237;0.12499998509884;;;;;;;;
517;graph500_reference_bfs_sssp;csr_reference.c:38-38;0.070077039301395;0.10999999940395;;;;;;;;
