function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
24;graph500_reference_bfs_sssp;convert_graph_to_oned_csr;graph_generator.h:36-40,csr_reference.c:51-63,csr_reference.c:75-105,csr_reference.c:134-170,csr_reference.c:176-180,common.h:250-250;0.21978704631329;0.34499993920326;0.34499993920326;0.34499993920326;0.34499993920326;0;0;8.9266540825861e-09;1.4012177196321e-08;1.4012177196321e-08;1.4012177196321e-08;1.4012177196321e-08;0;0;1;"100,0,0,0,0,0,0,0,0,0";convert_graph_to_oned_csr;;
19;graph500_reference_bfs_sssp;halfedgehndl;csr_reference.c:38-38;0.070077039301395;0.10999999940395;0.10999999195337;0.10999999195337;0.10999999195337;0;0;0.070077039301395;0.10999999940395;0.10999999195337;0.10999999195337;0.10999999195337;0;0;1;"100,0,0,0,0,0,0,0,0,0";halfedgehndl;;
61;graph500_reference_bfs_sssp;mrg_get_float_orig;mod_arith_64bit.h:27-36,splittable_mrg.c:172-177,splittable_mrg.c:279-281;0.066891714930534;0.10499998927116;0.10499998182058;0.10499998182058;0.10499998182058;0;0;0.066891714930534;0.10499998927116;0.10499998182058;0.10499998182058;0.10499998182058;0;0;1;"100,0,0,0,0,0,0,0,0,0";mrg_get_float_orig;;
58;graph500_reference_bfs_sssp;mrg_skip;splittable_mrg.c:165-165,splittable_mrg.c:186-201;0.031853195279837;0.049999993294477;0.049999985843897;0.049999985843897;0.049999985843897;0;0;0.0095559572800994;0.014999995008111;0.014999995939434;0.014999995939434;0.014999995939434;0;0;1;"100,0,0,0,0,0,0,0,0,0";mrg_skip;;
12;graph500_reference_bfs_sssp;clean_pred;bfs_reference.c:146-147;0.022297237068415;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";clean_pred;;
3697;libc.so.6;__memset_avx512_unaligned_erms;;0.012741278856993;0.01999999769032;0.019999995827675;0.019999995827675;0.019999995827675;0;0;0.012741278856993;0.01999999769032;0.019999995827675;0.019999995827675;0.019999995827675;0;0;1;"0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;
5223;libmpi.so.12.5.0;MPIR_T_CVAR_REGISTER_impl;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";MPIR_T_CVAR_REGISTER_impl;;
4066;libmpi.so.12.5.0;MPIR_Request_completion_processing;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";MPIR_Request_completion_processing;;
4029;libmpi.so.12.5.0;MPIR_Test;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";MPIR_Test;;
3633;libc.so.6;__strlen_evex;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";__strlen_evex;;
3629;libc.so.6;__strchr_evex;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";__strchr_evex;;
1704;libc.so.6;__GI___clock_gettime;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";__GI___clock_gettime;;
1625;libfabric.so.1.30.0;sock_cq_progress.part.0;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";sock_cq_progress.part.0;;
1241;libmpi.so.12.5.0;MPI_Allreduce;;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,100,0,0,0,0,0,0,0,0";MPI_Allreduce;;
18;graph500_reference_bfs_sssp;clean_shortest;sssp_reference.c:154-155;0.0031853197142482;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";clean_shortest;;
