loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
13;graph500_reference_bfs_sssp;get_edge_count_for_teps;11;bfs_reference.c:134-136;Innermost;8.9348211288452;14.024996757507;14.024996757507;14.024996757507;14.024996757507;0;0;8.9348211288452;14.024996757507;14.024996757507;14.024996757507;14.024996757507;0;0;1;;
20;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:107-109;InBetween;9.2469835281372;14.514998435974;14.5149974823;14.5149974823;14.5149974823;0;0;5.4819350242615;8.604998588562;8.604998588562;8.604998588562;8.604998588562;0;0;1;;
41;graph500_reference_bfs_sssp;validate_result;41;validate.c:114-119,validate.c:285-285;Innermost;3.9561676979065;6.210000038147;6.210000038147;6.210000038147;6.210000038147;0;0;3.9561676979065;6.210000038147;6.210000038147;6.210000038147;6.210000038147;0;0;1;;
21;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:107-108;Innermost;3.76504778862;5.9099988937378;5.909999370575;5.909999370575;5.909999370575;0;0;3.76504778862;5.9099988937378;5.909999370575;5.909999370575;5.909999370575;0;0;1;;
18;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:122-124;Innermost;2.9942007064819;4.6999998092651;4.699999332428;4.699999332428;4.699999332428;0;0;2.9942007064819;4.6999998092651;4.699999332428;4.699999332428;4.699999332428;0;0;1;;
11;graph500_reference_bfs_sssp;run_bfs;10;bfs_reference.c:62-63,bfs_reference.c:107-108;Innermost;2.7361896038055;4.2949991226196;4.2949995994568;4.2949995994568;4.2949995994568;0;0;2.7361896038055;4.2949991226196;4.2949995994568;4.2949995994568;4.2949995994568;0;0;1;;
16;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:134-138;Innermost;1.4142820835114;2.2199997901917;2.2199997901917;2.2199997901917;2.2199997901917;0;0;1.4142820835114;2.2199997901917;2.2199997901917;2.2199997901917;2.2199997901917;0;0;1;;
17;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:120-122;InBetween;4.2460312843323;6.6649990081787;6.6649994850159;6.6649994850159;6.6649994850159;0;0;1.2518306970596;1.96499979496;1.9649996757507;1.9649996757507;1.9649996757507;0;0;1;;
36;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:66-68,validate.c:171-172;Innermost;1.2518305778503;1.9649995565414;1.9649996757507;1.9649996757507;1.9649996757507;0;0;1.2518305778503;1.9649995565414;1.9649996757507;1.9649996757507;1.9649996757507;0;0;1;;
19;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:106-107;InBetween;10.275841712952;16.129997253418;16.129997253418;16.129997253418;16.129997253418;0;0;1.0288583040237;1.6149998903275;1.6149997711182;1.6149997711182;1.6149997711182;0;0;1;;
